Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Emilie;France;Chambre Standard Woody's Roundup;2;Mai 2022;Couple;Commentaire envoyé le 25 mai 2022;Fabuleux ;9,0;Le calme de la chambre;Le rideau trop petit pour les fenêtres;0;EmilieFranceChambre Standard Woody's RoundupMai 2022CoupleCommentaire envoyé le 25 mai 2022Fabuleux ;Cheyenne
Thom;Pays-Bas;Chambre Standard Woody's Roundup;2;Avril 2022;Groupe;Commentaire envoyé le 24 mai 2022;Très bien;8,0;;;0;ThomPays-BasChambre Standard Woody's RoundupAvril 2022GroupeCommentaire envoyé le 24 mai 2022Très bien;Cheyenne
Karin;Pays-Bas;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;1;Mai 2022;Famille;Commentaire envoyé le 24 mai 2022;prima uitvalsbasis voor een bezoek aan Disney!;8,0;;;1;KarinPays-BasChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreMai 2022FamilleCommentaire envoyé le 24 mai 2022prima uitvalsbasis voor een bezoek aan Disney!;Cheyenne
Régis;France;Chambre Standard Woody's Roundup;1;Mai 2022;Famille;Commentaire envoyé le 24 mai 2022;Exceptionnel;10;;;0;RégisFranceChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 24 mai 2022Exceptionnel;Cheyenne
Sylvain;France;Chambre Woody's Roundup à Proximité des Installations;1;Mai 2022;Famille;Commentaire envoyé le 24 mai 2022;féerique, dans les parcs comme à l hôtel ! merci;10;la literie, le style de l hôtel, le personnel très accueillant et le petit déjeuner !;le prix est un peu excessif pour les services rendus;0;SylvainFranceChambre Woody's Roundup à Proximité des InstallationsMai 2022FamilleCommentaire envoyé le 24 mai 2022féerique, dans les parcs comme à l hôtel ! merci;Cheyenne
Claire;Irlande;Chambre Standard Woody's Roundup;1;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;Exceptionnel;10;;;0;ClaireIrlandeChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 23 mai 2022Exceptionnel;Cheyenne
Adrien;France;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;1;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;Honteux, mauvaise experience, a gâché une partie du séjour;4,0;L univers et l accueil du personnel;Le seul évier de la chambre était bouché à notre arrivée, le soir à 19h30, je n avais pas encore pu accéder à la chambre. J ai appelé tout de suite la maintenance, qui m'annonce qu on m envoi immédiatement quelqu'un. 1h30 plus tard toujours rien, personne ne viendra... De plus j ai pris des photos, la chambre est dans un piteux état , tapisserie qui se décolle, rideau cassé, moisissure dans les joints de baignoire, climatisation qui ne marche pas... au prix des chambres c est honteux.;1;AdrienFranceChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreMai 2022FamilleCommentaire envoyé le 23 mai 2022Honteux, mauvaise experience, a gâché une partie du séjour;Cheyenne
Pierre;France;Chambre Standard Woody's Roundup;1;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;Agréable;6,0;;;0;PierreFranceChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 23 mai 2022Agréable;Cheyenne
Vincent;France;Chambre Standard Woody's Roundup;3;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;Très bien;8,0;;;0;VincentFranceChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 23 mai 2022Très bien;Cheyenne
Mehdi;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 23 mai 2022;Bien ;7,0;;;0;MehdiFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 23 mai 2022Bien ;Cheyenne
Nazli;Turquie;Chambre Standard Woody's Roundup;2;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;moderately fine;5,0;;;0;NazliTurquieChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 23 mai 2022moderately fine;Cheyenne
