Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel
Daniel;Israël;Chambre Supérieure;1;Septembre 2022;Couple;Commentaire envoyé le 27 octobre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Ailish;Irlande;Chambre Supérieure;3;Octobre 2022;Famille;Commentaire envoyé le 24 octobre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Julie;Royaume-Uni;Chambre Supérieure;1;Octobre 2022;Famille;Commentaire envoyé le 15 octobre 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Latafat;Royaume-Uni;Chambre Supérieure;2;Octobre 2022;Famille;Commentaire envoyé le 15 octobre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Andrea;Pays-Bas;Chambre Club Compass - Côté Lac (2 Adultes);3;Août 2022;Famille;Commentaire envoyé le 29 août 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Loonycushion;Roumanie;Chambre Club Compass - Côté Lac (2 Adultes);3;Août 2022;Famille;Commentaire envoyé le 10 août 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Edouard;France;Chambre Supérieure avec Terrasse;1;Juin 2022;Famille;Commentaire envoyé le 5 août 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Janek;Estonie;Chambre Supérieure;2;Août 2022;Famille;Commentaire envoyé le 4 août 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Javdani;Australie;Chambre Supérieure;4;Juillet 2022;Famille;Commentaire envoyé le 21 juillet 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Adel;Koweït;Chambre Supérieure - Côté Lac;3;Juillet 2022;Famille;Commentaire envoyé le 17 juillet 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Rafiya;Émirats arabes unis;Chambre Supérieure;1;Juillet 2022;Famille;Commentaire envoyé le 5 juillet 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Alhajri;États-Unis;Chambre Supérieure - Côté Lac;1;Juin 2022;Couple;Commentaire envoyé le 4 juillet 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Loosa;Royaume-Uni;Chambre Supérieure avec Terrasse;2;Juin 2022;Famille;Commentaire envoyé le 11 juin 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Kaveh;Suisse;Chambre Supérieure - Côté Lac;2;Juin 2022;Famille;Commentaire envoyé le 6 juin 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Mai;Israël;Chambre Supérieure avec Terrasse;1;Mai 2022;Famille;Commentaire envoyé le 3 juin 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Shurouk;Koweït;Chambre Supérieure;3;Mai 2022;Famille;Commentaire envoyé le 10 mai 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Einat;Israël;Chambre Supérieure;2;Mai 2022;Famille;Commentaire envoyé le 10 mai 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Toni;Croatie;Chambre Supérieure avec Terrasse;2;Avril 2022;Famille;Commentaire envoyé le 30 avril 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Omran;Arabie saoudite;Chambre Supérieure;2;Mars 2022;Couple;Commentaire envoyé le 22 avril 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Kenta;Suisse;Chambre Supérieure - Côté Lac;2;Avril 2022;Famille;Commentaire envoyé le 17 avril 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Richard;Royaume-Uni;Chambre Supérieure;1;Avril 2022;Famille;Commentaire envoyé le 13 avril 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Karen;Malte;Chambre Supérieure avec Terrasse;3;Avril 2022;Famille;Commentaire envoyé le 13 avril 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Nuno;Portugal;Chambre Supérieure;3;Avril 2022;Famille;Commentaire envoyé le 11 avril 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Jamal;Arabie saoudite;Chambre Club Compass (2 Adultes);1;Mars 2022;Famille;Commentaire envoyé le 10 avril 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Raduand;Roumanie;Chambre Supérieure - Côté Lac;4;Mars 2022;Couple;Commentaire envoyé le 8 avril 2022;Nice stay at one of the Disney's hotels;7,0;;;0;Disney's Newport Bay Club
Refeth;Royaume-Uni;Chambre Supérieure - Côté Lac;1;Mars 2022;Famille;Commentaire envoyé le 31 mars 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Wahid;Émirats arabes unis;Chambre Supérieure;2;Janvier 2022;Famille;Commentaire envoyé le 26 mars 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Anggi;France;Chambre Supérieure;1;Mars 2022;Famille;Commentaire envoyé le 24 mars 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Mulham;Oman;Chambre Supérieure;1;Mars 2022;Couple;Commentaire envoyé le 16 mars 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Tariq;Arabie saoudite;Chambre Supérieure - Côté Lac;2;Mars 2022;Couple;Commentaire envoyé le 16 mars 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Tariq;Arabie saoudite;Chambre Supérieure - Côté Lac;2;Mars 2022;Groupe;Commentaire envoyé le 16 mars 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Сергей;Russie;Chambre Supérieure;3;Février 2022;Famille;Commentaire envoyé le 28 février 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
